aX,aY,aZ,gX,gY,gZ
0.275,-0.608,0.663,-23.071,-57.739,12.39
0.024,-0.636,0.613,-27.71,-86.365,54.443
-0.249,-0.712,0.538,-27.466,-107.056,80.383
-0.507,-0.738,0.441,-25.94,-118.53,85.083
-0.703,-0.749,0.283,-24.414,-119.995,69.58
-0.835,-0.765,0.111,-20.752,-105.652,40.588
-0.859,-0.779,-0.02,-13.977,-71.777,8.362
-0.724,-0.815,-0.017,-5.615,-22.156,-20.752
-0.54,-0.81,0.094,3.845,27.832,-45.288
-0.328,-0.812,0.284,8.972,64.575,-57.983
-0.115,-0.893,0.47,8.85,77.82,-59.143
-0.036,-0.898,0.51,5.737,66.04,-54.016
-0.002,-0.877,0.485,0.366,44.434,-38.818
0.091,-0.961,0.587,-5.859,22.705,-15.808
0.069,-0.943,0.529,-9.644,-5.066,3.479
0.038,-1.161,0.5,-13.245,-29.968,20.203
-0.209,-1.099,0.29,-13.977,-49.744,12.817
-0.291,-0.893,0.235,-13.794,-49.377,10.132
-0.296,-0.893,0.281,-13.977,-35.645,15.503
-0.331,-0.896,0.203,-10.498,-31.006,15.137
-0.405,-0.882,0.125,-6.775,-22.766,13.977
-0.445,-0.958,0.177,-2.625,-4.089,8.545
-0.41,-1.053,0.319,3.479,10.193,-6.165
-0.347,-0.979,0.35,7.629,9.705,-25.94
-0.304,-0.872,0.326,5.249,7.935,-34.363
-0.255,-0.847,0.362,2.686,12.085,-33.325
-0.19,-0.841,0.396,2.441,17.09,-28.87
-0.142,-0.887,0.468,1.587,21.24,-22.095
-0.137,-0.898,0.515,0.61,19.409,-18.616
-0.142,-0.875,0.528,-0.671,11.78,-15.198
-0.166,-0.859,0.517,-2.869,3.235,-9.521
-0.199,-0.85,0.488,-5.127,-4.333,-2.686
-0.233,-0.844,0.441,-6.348,-10.254,3.418
-0.264,-0.844,0.395,-6.165,-12.695,7.629
-0.283,-0.857,0.367,-5.066,-12.024,9.827
-0.304,-0.881,0.338,-3.601,-10.132,9.949
-0.309,-0.906,0.341,-2.38,-6.775,8.606
-0.304,-0.908,0.334,-0.916,-4.333,5.432
